WARNING | 2021-11-30 16:03:19,413 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_get_dcmi_capability_info_mandatory_platform_attributes_rs
WARNING | 2021-11-30 16:03:19,414 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_get_asset_tag_rs
WARNING | 2021-11-30 16:03:19,414 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_get_dcmi_capability_info_enhanced_system_power_statistics_attributes_rs
WARNING | 2021-11-30 16:03:19,414 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_set_asset_tag_rs
WARNING | 2021-11-30 16:03:19,414 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_set_management_controller_identifier_string_rs
WARNING | 2021-11-30 16:03:19,414 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_set_power_limit_rs
WARNING | 2021-11-30 16:03:19,414 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_get_dcmi_capability_info_optional_platform_attributes_rs
WARNING | 2021-11-30 16:03:19,414 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_dcmi_rolling_average_time_period
WARNING | 2021-11-30 16:03:19,415 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_activate_deactivate_power_limit_rs
WARNING | 2021-11-30 16:03:19,415 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_get_power_reading_rs
WARNING | 2021-11-30 16:03:19,415 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_get_dcmi_capability_info_manageability_access_attributes_rs
WARNING | 2021-11-30 16:03:19,415 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_get_management_controller_identifier_string_rs
WARNING | 2021-11-30 16:03:19,415 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_get_dcmi_capability_info_supported_dcmi_capabilities_rs
WARNING | 2021-11-30 16:03:19,415 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_get_dcmi_sensor_info_rs
WARNING | 2021-11-30 16:03:19,415 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_dcmi_get_power_limit_rs
WARNING | 2021-11-30 16:03:19,421 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-11-30 17:41:52,067 | root     | b'out of memory'
ERROR   | 2021-11-30 17:41:52,067 | root     | got an error while analyzing cbuf_copier
ERROR   | 2021-11-30 17:41:52,843 | root     | b'out of memory'
ERROR   | 2021-11-30 17:41:52,843 | root     | got an error while analyzing cbuf_dropper
ERROR   | 2021-11-30 17:41:53,513 | root     | b'out of memory'
ERROR   | 2021-11-30 17:41:53,513 | root     | got an error while analyzing cbuf_reader
ERROR   | 2021-11-30 17:41:54,183 | root     | b'out of memory'
ERROR   | 2021-11-30 17:41:54,184 | root     | got an error while analyzing cbuf_replayer
ERROR   | 2021-11-30 17:41:54,842 | root     | b'out of memory'
ERROR   | 2021-11-30 17:41:54,843 | root     | got an error while analyzing cbuf_writer
ERROR   | 2021-11-30 17:41:55,488 | root     | b'out of memory'
ERROR   | 2021-11-30 17:41:55,488 | root     | got an error while analyzing cbuf_grow
ERROR   | 2021-11-30 17:45:21,554 | root     | b'out of memory'
ERROR   | 2021-11-30 17:45:21,554 | root     | got an error while analyzing conffile_parse
ERROR   | 2021-11-30 17:51:28,082 | root     | b'out of memory'
ERROR   | 2021-11-30 17:51:28,082 | root     | got an error while analyzing hostrange_numstr
ERROR   | 2021-11-30 17:51:28,650 | root     | list index out of range
ERROR   | 2021-11-30 17:51:28,650 | root     | got an error while analyzing hostlist_new
ERROR   | 2021-11-30 17:51:29,197 | root     | b'out of memory'
ERROR   | 2021-11-30 17:51:29,198 | root     | got an error while analyzing hostlist_resize
ERROR   | 2021-11-30 17:51:29,731 | root     | b'out of memory'
ERROR   | 2021-11-30 17:51:29,731 | root     | got an error while analyzing hostlist_expand
ERROR   | 2021-11-30 17:51:30,271 | root     | b'out of memory'
