WARNING | 2021-12-01 21:32:33,373 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: opterr
WARNING | 2021-12-01 21:32:33,378 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-01 21:41:30,134 | root     | b'out of memory'
ERROR   | 2021-12-01 21:41:30,136 | root     | got an error while analyzing quotearg_buffer_restyled
ERROR   | 2021-12-01 21:41:31,741 | root     | list index out of range
ERROR   | 2021-12-01 21:41:31,742 | root     | got an error while analyzing quotearg_buffer
ERROR   | 2021-12-01 21:41:32,196 | root     | list index out of range
ERROR   | 2021-12-01 21:41:32,196 | root     | got an error while analyzing quotearg_alloc_mem
ERROR   | 2021-12-01 21:41:32,728 | root     | b'out of memory'
ERROR   | 2021-12-01 21:41:32,732 | root     | got an error while analyzing quotearg_n_options
ERROR   | 2021-12-01 21:42:09,616 | root     | b'out of memory'
ERROR   | 2021-12-01 21:42:09,621 | root     | got an error while analyzing version_etc_ar
ERROR   | 2021-12-01 21:42:37,966 | root     | b'out of memory'
ERROR   | 2021-12-01 21:42:37,972 | root     | got an error while analyzing version_etc_va
ERROR   | 2021-12-01 21:43:14,524 | root     | b'out of memory'
ERROR   | 2021-12-01 21:43:14,531 | root     | got an error while analyzing xalloc_die
ERROR   | 2021-12-01 21:43:54,234 | root     | b'out of memory'
ERROR   | 2021-12-01 21:43:54,238 | root     | got an error while analyzing rpl_nanosleep
Killed
