WARNING | 2021-12-01 22:59:07,951 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_4096_group_prime
WARNING | 2021-12-01 22:59:07,951 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_free
WARNING | 2021-12-01 22:59:07,951 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1024_group_generator
WARNING | 2021-12-01 22:59:07,951 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_4096_group_generator
WARNING | 2021-12-01 22:59:07,951 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_2048_group_generator
WARNING | 2021-12-01 22:59:07,951 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1536_group_generator
WARNING | 2021-12-01 22:59:07,952 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_3072_group_prime
WARNING | 2021-12-01 22:59:07,952 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_3072_group_generator
WARNING | 2021-12-01 22:59:07,952 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1536_group_prime
WARNING | 2021-12-01 22:59:07,952 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_1024_group_prime
WARNING | 2021-12-01 22:59:07,952 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_srp_2048_group_prime
WARNING | 2021-12-01 22:59:07,956 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-01 23:57:32,064 | root     | 
ERROR   | 2021-12-01 23:57:32,066 | root     | got an error while analyzing yyparse
ERROR   | 2021-12-02 00:28:11,483 | root     | b'out of memory'
ERROR   | 2021-12-02 00:28:11,483 | root     | got an error while analyzing spn_ag_char_map_back
ERROR   | 2021-12-02 00:28:16,407 | root     | b'out of memory'
ERROR   | 2021-12-02 00:28:16,408 | root     | got an error while analyzing parse_hr_min_sec
ERROR   | 2021-12-02 00:28:17,369 | root     | b'out of memory'
ERROR   | 2021-12-02 00:28:17,369 | root     | got an error while analyzing parse_scaled_value
ERROR   | 2021-12-02 00:28:19,469 | root     | list index out of range
ERROR   | 2021-12-02 00:28:19,469 | root     | got an error while analyzing parse_yearmonthday
ERROR   | 2021-12-02 00:28:22,162 | root     | list index out of range
ERROR   | 2021-12-02 00:28:22,163 | root     | got an error while analyzing parse_YMWD
ERROR   | 2021-12-02 00:28:24,244 | root     | list index out of range
ERROR   | 2021-12-02 00:28:24,245 | root     | got an error while analyzing parse_hourminutesecond
ERROR   | 2021-12-02 00:28:25,981 | root     | list index out of range
ERROR   | 2021-12-02 00:28:25,981 | root     | got an error while analyzing parse_HMS
ERROR   | 2021-12-02 00:28:28,958 | root     | b'out of memory'
ERROR   | 2021-12-02 00:28:28,959 | root     | got an error while analyzing trim
ERROR   | 2021-12-02 00:28:30,348 | root     | list index out of range
ERROR   | 2021-12-02 00:28:30,348 | root     | got an error while analyzing parse_period
ERROR   | 2021-12-02 00:28:31,321 | root     | b'out of memory'
ERROR   | 2021-12-02 00:28:31,321 | root     | got an error while analyzing parse_non_iso8601
ERROR   | 2021-12-02 00:28:32,286 | root     | b'out of memory'
ERROR   | 2021-12-02 00:28:32,286 | root     | got an error while analyzing option_parse_duration
ERROR   | 2021-12-02 00:28:33,240 | root     | b'out of memory'
ERROR   | 2021-12-02 00:28:33,240 | root     | got an error while analyzing option_value_type_hash
ERROR   | 2021-12-02 00:28:36,228 | root     | b'out of memory'
ERROR   | 2021-12-02 00:28:36,228 | root     | got an error while analyzing option_xat_attribute_hash
Killed
