ERROR   | 2021-12-01 21:00:27,800 | root     | 
ERROR   | 2021-12-01 21:00:27,807 | root     | got an error while analyzing Barcode_128b_encode
ERROR   | 2021-12-01 21:05:41,467 | root     | maximum recursion depth exceeded while calling a Python object
ERROR   | 2021-12-01 21:05:41,467 | root     | got an error while analyzing Barcode_128_make_array
ERROR   | 2021-12-01 21:19:09,231 | root     | b'out of memory'
ERROR   | 2021-12-01 21:19:09,238 | root     | got an error while analyzing Barcode_128raw_encode
ERROR   | 2021-12-01 21:19:09,531 | root     | b'out of memory'
ERROR   | 2021-12-01 21:19:09,535 | root     | got an error while analyzing Barcode_39_verify
ERROR   | 2021-12-01 22:49:11,976 | root     | b'out of memory'
ERROR   | 2021-12-01 22:49:11,986 | root     | got an error while analyzing Barcode_39_encode
ERROR   | 2021-12-01 22:49:12,514 | root     | b'out of memory'
ERROR   | 2021-12-01 22:49:12,519 | root     | got an error while analyzing Barcode_39ext_encode
ERROR   | 2021-12-01 22:49:13,025 | root     | b'out of memory'
ERROR   | 2021-12-01 22:49:13,027 | root     | got an error while analyzing Barcode_93_verify
ERROR   | 2021-12-01 22:50:34,813 | root     | b'out of memory'
ERROR   | 2021-12-01 22:50:34,816 | root     | got an error while analyzing Barcode_93_encode
ERROR   | 2021-12-01 22:50:35,190 | root     | b'out of memory'
ERROR   | 2021-12-01 22:50:35,195 | root     | got an error while analyzing Barcode_i25_verify
ERROR   | 2021-12-01 22:50:35,534 | root     | b'out of memory'
ERROR   | 2021-12-01 22:50:35,540 | root     | got an error while analyzing Barcode_i25_encode
ERROR   | 2021-12-01 22:50:35,847 | root     | b'out of memory'
ERROR   | 2021-12-01 22:50:35,852 | root     | got an error while analyzing Barcode_msi_verify
ERROR   | 2021-12-01 22:50:43,786 | root     | b'out of memory'
ERROR   | 2021-12-01 22:50:43,789 | root     | got an error while analyzing Barcode_msi_encode
ERROR   | 2021-12-01 22:50:44,055 | root     | b'out of memory'
ERROR   | 2021-12-01 22:50:44,055 | root     | got an error while analyzing Barcode_pls_verify
ERROR   | 2021-12-01 22:50:44,289 | root     | b'out of memory'
ERROR   | 2021-12-01 22:50:44,289 | root     | got an error while analyzing Barcode_pls_encode
ERROR   | 2021-12-01 22:50:44,523 | root     | b'out of memory'
ERROR   | 2021-12-01 22:50:44,523 | root     | got an error while analyzing Barcode_cbr_verify
ERROR   | 2021-12-01 22:50:44,755 | root     | b'out of memory'
ERROR   | 2021-12-01 22:50:44,755 | root     | got an error while analyzing Barcode_cbr_encode
ERROR   | 2021-12-01 22:50:45,000 | root     | b'out of memory'
ERROR   | 2021-12-01 22:50:45,000 | root     | got an error while analyzing Barcode_ps_print
ERROR   | 2021-12-01 22:50:45,353 | root     | b'out of memory'
ERROR   | 2021-12-01 22:50:45,359 | root     | got an error while analyzing Barcode_svg_print
ERROR   | 2021-12-01 22:50:45,702 | root     | b'out of memory'
ERROR   | 2021-12-01 22:50:45,711 | root     | got an error while analyzing gotox
ERROR   | 2021-12-01 22:54:35,749 | root     | b'out of memory'
ERROR   | 2021-12-01 22:54:35,755 | root     | got an error while analyzing Barcode_pcl_print
ERROR   | 2021-12-01 22:55:48,780 | root     | b'out of memory'
ERROR   | 2021-12-01 22:55:48,787 | root     | got an error while analyzing Barcode_11_encode
