WARNING | 2021-12-02 01:13:18,272 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_debug_line_info
WARNING | 2021-12-02 01:13:18,272 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-02 01:13:18,273 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-02 01:13:18,276 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 01:29:24,302 | root     | 
ERROR   | 2021-12-02 01:29:24,306 | root     | got an error while analyzing mimetypes_yyparse
ERROR   | 2021-12-02 01:56:32,933 | root     | list index out of range
ERROR   | 2021-12-02 01:56:32,933 | root     | got an error while analyzing mimetypes_yy_load_buffer_state
ERROR   | 2021-12-02 01:56:33,229 | root     | b'out of memory'
ERROR   | 2021-12-02 01:56:33,229 | root     | got an error while analyzing mimetypes_yy_create_buffer
ERROR   | 2021-12-02 01:56:33,581 | root     | b'out of memory'
ERROR   | 2021-12-02 01:56:33,581 | root     | got an error while analyzing mimetypes_yy_delete_buffer
ERROR   | 2021-12-02 01:56:33,822 | root     | b'out of memory'
ERROR   | 2021-12-02 01:56:33,822 | root     | got an error while analyzing mimetypes_yy_init_buffer
ERROR   | 2021-12-02 01:56:34,128 | root     | b'out of memory'
ERROR   | 2021-12-02 01:56:34,128 | root     | got an error while analyzing mimetypes_yy_flush_buffer
ERROR   | 2021-12-02 01:56:35,404 | root     | b'out of memory'
ERROR   | 2021-12-02 01:56:35,404 | root     | got an error while analyzing yy_scan_buffer
ERROR   | 2021-12-02 01:56:36,270 | root     | b'out of memory'
ERROR   | 2021-12-02 01:56:36,270 | root     | got an error while analyzing yy_scan_bytes
ERROR   | 2021-12-02 01:56:36,623 | root     | list index out of range
ERROR   | 2021-12-02 01:56:36,623 | root     | got an error while analyzing yy_fatal_error
ERROR   | 2021-12-02 01:56:41,986 | root     | b'out of memory'
ERROR   | 2021-12-02 01:56:41,986 | root     | got an error while analyzing mimetypes_open
