WARNING | 2021-12-02 02:06:19,553 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_config_dir
WARNING | 2021-12-02 02:06:19,556 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 02:38:29,503 | root     | argument 3: <class 'RecursionError'>: maximum recursion depth exceeded while calling a Python object
ERROR   | 2021-12-02 02:38:29,503 | root     | got an error while analyzing fill_in_uparams
ERROR   | 2021-12-02 02:47:12,637 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:12,637 | root     | got an error while analyzing make_hol
ERROR   | 2021-12-02 02:47:24,497 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:24,497 | root     | got an error while analyzing hol_entry_short_iterate
ERROR   | 2021-12-02 02:47:25,193 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:25,193 | root     | got an error while analyzing hol_entry_first_short
ERROR   | 2021-12-02 02:47:25,492 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:25,492 | root     | got an error while analyzing hol_entry_first_long
ERROR   | 2021-12-02 02:47:25,793 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:25,793 | root     | got an error while analyzing hol_find_entry
ERROR   | 2021-12-02 02:47:26,929 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:26,929 | root     | got an error while analyzing hol_cluster_cmp
ERROR   | 2021-12-02 02:47:27,230 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:27,230 | root     | got an error while analyzing hol_cluster_base
ERROR   | 2021-12-02 02:47:27,990 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:27,991 | root     | got an error while analyzing canon_doc_option
ERROR   | 2021-12-02 02:47:28,296 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:28,296 | root     | got an error while analyzing hol_entry_cmp
ERROR   | 2021-12-02 02:47:28,877 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:28,877 | root     | got an error while analyzing hol_sort
ERROR   | 2021-12-02 02:47:29,193 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:29,193 | root     | got an error while analyzing hol_append
ERROR   | 2021-12-02 02:47:30,025 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:30,025 | root     | got an error while analyzing space
ERROR   | 2021-12-02 02:47:30,352 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:30,352 | root     | got an error while analyzing arg
ERROR   | 2021-12-02 02:47:30,685 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:30,685 | root     | got an error while analyzing filter_doc
ERROR   | 2021-12-02 02:47:31,010 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:31,010 | root     | got an error while analyzing print_header
ERROR   | 2021-12-02 02:47:31,332 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:31,333 | root     | got an error while analyzing comma
ERROR   | 2021-12-02 02:47:31,661 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:31,661 | root     | got an error while analyzing hol_entry_help
ERROR   | 2021-12-02 02:47:31,993 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:31,994 | root     | got an error while analyzing hol_help
ERROR   | 2021-12-02 02:47:32,331 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:32,331 | root     | got an error while analyzing add_argless_short_opt
ERROR   | 2021-12-02 02:47:32,675 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:32,675 | root     | got an error while analyzing usage_argful_short_opt
ERROR   | 2021-12-02 02:47:33,012 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:33,012 | root     | got an error while analyzing usage_long_opt
ERROR   | 2021-12-02 02:47:33,348 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:33,348 | root     | got an error while analyzing hol_usage
ERROR   | 2021-12-02 02:47:33,689 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:33,689 | root     | got an error while analyzing argp_hol
ERROR   | 2021-12-02 02:47:34,021 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:34,021 | root     | got an error while analyzing argp_args_levels
ERROR   | 2021-12-02 02:47:34,372 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:34,372 | root     | got an error while analyzing argp_args_usage
ERROR   | 2021-12-02 02:47:34,715 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:34,715 | root     | got an error while analyzing argp_doc
ERROR   | 2021-12-02 02:47:41,621 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:41,621 | root     | got an error while analyzing exchange
ERROR   | 2021-12-02 02:47:42,684 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:42,684 | root     | got an error while analyzing argp_fmtstream_free
ERROR   | 2021-12-02 02:47:43,746 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:43,746 | root     | got an error while analyzing argp_fmtstream_write
ERROR   | 2021-12-02 02:47:44,721 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:44,722 | root     | got an error while analyzing argp_fmtstream_putc
ERROR   | 2021-12-02 02:47:45,146 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:45,146 | root     | got an error while analyzing argp_fmtstream_set_lmargin
ERROR   | 2021-12-02 02:47:45,584 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:45,584 | root     | got an error while analyzing argp_fmtstream_set_rmargin
ERROR   | 2021-12-02 02:47:46,010 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:46,010 | root     | got an error while analyzing argp_fmtstream_set_wmargin
ERROR   | 2021-12-02 02:47:46,436 | root     | b'out of memory'
ERROR   | 2021-12-02 02:47:46,436 | root     | got an error while analyzing argp_fmtstream_point
