WARNING | 2021-12-02 02:14:30,077 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: program_invocation_name
WARNING | 2021-12-02 02:14:30,077 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: program_invocation_short_name
WARNING | 2021-12-02 02:14:30,081 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 02:22:05,110 | root     | b'out of memory'
ERROR   | 2021-12-02 02:22:05,110 | root     | got an error while analyzing recutl_parse_db_from_file
ERROR   | 2021-12-02 02:22:36,806 | root     | b'out of memory'
ERROR   | 2021-12-02 02:22:36,806 | root     | got an error while analyzing recutl_build_db
ERROR   | 2021-12-02 02:22:47,709 | root     | b'out of memory'
ERROR   | 2021-12-02 02:22:47,709 | root     | got an error while analyzing recutl_index_list_parse
ERROR   | 2021-12-02 02:22:52,537 | root     | 
ERROR   | 2021-12-02 02:22:52,537 | root     | got an error while analyzing recutl_getpass
ERROR   | 2021-12-02 02:22:54,970 | root     | 
ERROR   | 2021-12-02 02:22:54,970 | root     | got an error while analyzing recutl_print_help
Killed
