WARNING | 2021-12-02 02:24:46,026 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ospeed
WARNING | 2021-12-02 02:24:46,032 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 02:44:14,967 | root     | b'out of memory'
ERROR   | 2021-12-02 02:44:14,968 | root     | got an error while analyzing MakeNewEnv
ERROR   | 2021-12-02 02:48:28,275 | root     | b'out of memory'
ERROR   | 2021-12-02 02:48:28,275 | root     | got an error while analyzing runbacktick
ERROR   | 2021-12-02 02:48:35,643 | root     | b'out of memory'
ERROR   | 2021-12-02 02:48:35,643 | root     | got an error while analyzing MakeWinMsgEv
ERROR   | 2021-12-02 02:49:29,838 | root     | b'out of memory'
ERROR   | 2021-12-02 02:49:29,838 | root     | got an error while analyzing ParseChar
ERROR   | 2021-12-02 02:49:32,903 | root     | b'out of memory'
ERROR   | 2021-12-02 02:49:32,903 | root     | got an error while analyzing ParseEscape
ERROR   | 2021-12-02 02:49:36,011 | root     | b'out of memory'
ERROR   | 2021-12-02 02:49:36,011 | root     | got an error while analyzing SetTtyname
ERROR   | 2021-12-02 02:49:39,126 | root     | b'out of memory'
ERROR   | 2021-12-02 02:49:39,126 | root     | got an error while analyzing ResetAnsiState
ERROR   | 2021-12-02 02:49:43,018 | root     | b'out of memory'
ERROR   | 2021-12-02 02:49:43,018 | root     | got an error while analyzing ResetWindow
ERROR   | 2021-12-02 02:49:46,008 | root     | b'out of memory'
ERROR   | 2021-12-02 02:49:46,008 | root     | got an error while analyzing GetAnsiStatus
ERROR   | 2021-12-02 02:49:49,006 | root     | b'out of memory'
ERROR   | 2021-12-02 02:49:49,007 | root     | got an error while analyzing ResetCharsets
ERROR   | 2021-12-02 02:49:52,022 | root     | b'out of memory'
ERROR   | 2021-12-02 02:49:52,023 | root     | got an error while analyzing SetCharsets
ERROR   | 2021-12-02 02:50:00,502 | root     | b'out of memory'
ERROR   | 2021-12-02 02:50:00,502 | root     | got an error while analyzing WLogString
ERROR   | 2021-12-02 02:50:34,762 | root     | b'out of memory'
ERROR   | 2021-12-02 02:50:34,762 | root     | got an error while analyzing StringChar
ERROR   | 2021-12-02 02:50:38,062 | root     | b'out of memory'
ERROR   | 2021-12-02 02:50:38,062 | root     | got an error while analyzing StringEnd
ERROR   | 2021-12-02 02:50:45,127 | root     | b'out of memory'
ERROR   | 2021-12-02 02:50:45,127 | root     | got an error while analyzing PrintStart
ERROR   | 2021-12-02 02:50:48,304 | root     | b'out of memory'
ERROR   | 2021-12-02 02:50:48,304 | root     | got an error while analyzing PrintChar
ERROR   | 2021-12-02 02:50:56,165 | root     | b'out of memory'
ERROR   | 2021-12-02 02:50:56,166 | root     | got an error while analyzing WNewAutoFlow
ERROR   | 2021-12-02 02:51:13,354 | root     | b'out of memory'
ERROR   | 2021-12-02 02:51:13,354 | root     | got an error while analyzing MapCharsetR
ERROR   | 2021-12-02 02:51:16,769 | root     | b'out of memory'
ERROR   | 2021-12-02 02:51:16,769 | root     | got an error while analyzing SaveCursor
ERROR   | 2021-12-02 02:51:20,174 | root     | b'out of memory'
ERROR   | 2021-12-02 02:51:20,174 | root     | got an error while analyzing RestoreCursor
ERROR   | 2021-12-02 02:52:03,253 | root     | list index out of range
ERROR   | 2021-12-02 02:52:03,253 | root     | got an error while analyzing DeleteChar
ERROR   | 2021-12-02 02:52:45,420 | root     | b'out of memory'
ERROR   | 2021-12-02 02:52:45,421 | root     | got an error while analyzing BackwardTab
ERROR   | 2021-12-02 02:53:42,075 | root     | list index out of range
