ERROR   | 2021-12-02 02:57:34,517 | root     | argument 3: <class 'RecursionError'>: maximum recursion depth exceeded while calling a Python object
ERROR   | 2021-12-02 02:57:34,517 | root     | got an error while analyzing fill_in_uparams
ERROR   | 2021-12-02 03:08:16,906 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:16,906 | root     | got an error while analyzing make_hol
ERROR   | 2021-12-02 03:08:18,694 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:18,694 | root     | got an error while analyzing hol_add_cluster
ERROR   | 2021-12-02 03:08:19,946 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:19,947 | root     | got an error while analyzing hol_free
ERROR   | 2021-12-02 03:08:21,232 | root     | list index out of range
ERROR   | 2021-12-02 03:08:21,232 | root     | got an error while analyzing hol_entry_short_iterate
ERROR   | 2021-12-02 03:08:23,089 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:23,089 | root     | got an error while analyzing until_short
ERROR   | 2021-12-02 03:08:24,367 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:24,367 | root     | got an error while analyzing hol_entry_first_short
ERROR   | 2021-12-02 03:08:25,632 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:25,632 | root     | got an error while analyzing hol_entry_first_long
ERROR   | 2021-12-02 03:08:26,911 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:26,911 | root     | got an error while analyzing hol_find_entry
ERROR   | 2021-12-02 03:08:28,742 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:28,742 | root     | got an error while analyzing hol_set_group
ERROR   | 2021-12-02 03:08:32,158 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:32,158 | root     | got an error while analyzing hol_cluster_cmp
ERROR   | 2021-12-02 03:08:33,462 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:33,462 | root     | got an error while analyzing hol_cluster_base
ERROR   | 2021-12-02 03:08:36,897 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:36,897 | root     | got an error while analyzing canon_doc_option
ERROR   | 2021-12-02 03:08:38,206 | root     | b'out of memory'
ERROR   | 2021-12-02 03:08:38,207 | root     | got an error while analyzing hol_entry_cmp
ERROR   | 2021-12-02 03:08:40,579 | root     | b'out of memory'
