WARNING | 2021-12-02 15:15:19,065 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_device_id_rs
WARNING | 2021-12-02 15:15:19,066 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ipmi_sensor_units
WARNING | 2021-12-02 15:15:19,066 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ipmi_sensor_types
WARNING | 2021-12-02 15:15:19,066 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ipmi_oem_sensor_type
WARNING | 2021-12-02 15:15:19,067 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_pet_acknowledge_rs
WARNING | 2021-12-02 15:15:19,067 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_sel_system_event_record
WARNING | 2021-12-02 15:15:19,067 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_sel_system_event_record_event_fields
WARNING | 2021-12-02 15:15:19,070 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 15:30:17,184 | root     | b'out of memory'
ERROR   | 2021-12-02 15:30:17,188 | root     | got an error while analyzing verify_common_cmd_args_outofband
ERROR   | 2021-12-02 15:30:17,837 | root     | b'out of memory'
ERROR   | 2021-12-02 15:30:17,841 | root     | got an error while analyzing verify_common_cmd_args
ERROR   | 2021-12-02 15:32:41,308 | root     | b'out of memory'
ERROR   | 2021-12-02 15:32:42,460 | root     | got an error while analyzing event_output_sensor_name
ERROR   | 2021-12-02 15:54:25,147 | root     | b'out of memory'
ERROR   | 2021-12-02 15:54:25,150 | root     | got an error while analyzing cbuf_write_line
ERROR   | 2021-12-02 15:54:27,619 | root     | b'out of memory'
ERROR   | 2021-12-02 15:54:27,619 | root     | got an error while analyzing cbuf_peek_to_fd
ERROR   | 2021-12-02 15:54:30,034 | root     | b'out of memory'
ERROR   | 2021-12-02 15:54:30,034 | root     | got an error while analyzing cbuf_read_to_fd
ERROR   | 2021-12-02 15:54:32,473 | root     | b'out of memory'
ERROR   | 2021-12-02 15:54:32,474 | root     | got an error while analyzing cbuf_replay_to_fd
ERROR   | 2021-12-02 15:54:34,528 | root     | b'out of memory'
ERROR   | 2021-12-02 15:54:34,528 | root     | got an error while analyzing cbuf_write_from_fd
ERROR   | 2021-12-02 15:54:36,187 | root     | b'out of memory'
ERROR   | 2021-12-02 15:54:36,188 | root     | got an error while analyzing cbuf_copy
ERROR   | 2021-12-02 15:54:53,557 | root     | b'out of memory'
ERROR   | 2021-12-02 15:54:53,557 | root     | got an error while analyzing cbuf_move
ERROR   | 2021-12-02 15:54:55,092 | root     | b'out of memory'
ERROR   | 2021-12-02 15:54:55,147 | root     | got an error while analyzing cbuf_find_replay_line
ERROR   | 2021-12-02 15:55:05,370 | root     | b'out of memory'
ERROR   | 2021-12-02 15:55:05,375 | root     | got an error while analyzing cbuf_find_unread_line
ERROR   | 2021-12-02 16:00:03,663 | root     | b'out of memory'
ERROR   | 2021-12-02 16:00:03,663 | root     | got an error while analyzing cbuf_copier
ERROR   | 2021-12-02 16:00:04,624 | root     | b'out of memory'
ERROR   | 2021-12-02 16:00:04,624 | root     | got an error while analyzing cbuf_dropper
ERROR   | 2021-12-02 16:00:05,494 | root     | b'out of memory'
ERROR   | 2021-12-02 16:00:05,494 | root     | got an error while analyzing cbuf_reader
ERROR   | 2021-12-02 16:00:06,380 | root     | b'out of memory'
ERROR   | 2021-12-02 16:00:06,380 | root     | got an error while analyzing cbuf_replayer
ERROR   | 2021-12-02 16:00:07,253 | root     | b'out of memory'
ERROR   | 2021-12-02 16:00:07,253 | root     | got an error while analyzing cbuf_writer
ERROR   | 2021-12-02 16:00:08,123 | root     | b'out of memory'
ERROR   | 2021-12-02 16:00:08,123 | root     | got an error while analyzing cbuf_grow
ERROR   | 2021-12-02 16:04:07,434 | root     | b'out of memory'
ERROR   | 2021-12-02 16:04:07,441 | root     | got an error while analyzing conffile_parse
Killed
