WARNING | 2021-12-02 16:07:30,154 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gdbm_syserr
WARNING | 2021-12-02 16:07:30,155 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_function
WARNING | 2021-12-02 16:07:30,155 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_pre_input_hook
WARNING | 2021-12-02 16:07:30,155 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: history_length
WARNING | 2021-12-02 16:07:30,155 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_readline_name
WARNING | 2021-12-02 16:07:30,155 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gdbm_version
WARNING | 2021-12-02 16:07:30,155 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: opterr
WARNING | 2021-12-02 16:07:30,158 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 17:13:40,473 | root     | 
ERROR   | 2021-12-02 17:13:40,476 | root     | got an error while analyzing yyparse
Killed
