WARNING | 2021-12-02 16:56:12,602 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: gnutls_free
WARNING | 2021-12-02 16:56:12,608 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 17:30:48,572 | root     | b'out of memory'
ERROR   | 2021-12-02 17:30:48,574 | root     | got an error while analyzing parse_YMWD
ERROR   | 2021-12-02 17:32:10,352 | root     | b'out of memory'
ERROR   | 2021-12-02 17:32:10,369 | root     | got an error while analyzing parse_HMS
ERROR   | 2021-12-02 17:32:12,248 | root     | b'out of memory'
ERROR   | 2021-12-02 17:32:12,252 | root     | got an error while analyzing trim
ERROR   | 2021-12-02 17:32:30,588 | root     | b'out of memory'
ERROR   | 2021-12-02 17:32:30,590 | root     | got an error while analyzing parse_period
ERROR   | 2021-12-02 17:32:31,228 | root     | b'out of memory'
ERROR   | 2021-12-02 17:32:31,228 | root     | got an error while analyzing parse_non_iso8601
ERROR   | 2021-12-02 17:32:31,830 | root     | b'out of memory'
ERROR   | 2021-12-02 17:32:31,831 | root     | got an error while analyzing option_parse_duration
ERROR   | 2021-12-02 17:32:32,409 | root     | b'out of memory'
ERROR   | 2021-12-02 17:32:32,410 | root     | got an error while analyzing option_value_type_hash
ERROR   | 2021-12-02 17:48:52,837 | root     | b'out of memory'
ERROR   | 2021-12-02 17:48:52,842 | root     | got an error while analyzing canonicalize_pathname
ERROR   | 2021-12-02 17:48:53,583 | root     | b'out of memory'
ERROR   | 2021-12-02 17:48:53,586 | root     | got an error while analyzing extract_colon_unit
Killed
