ERROR   | 2021-12-02 17:43:18,094 | root     | 8
ERROR   | 2021-12-02 17:43:18,094 | root     | got an error while analyzing parse_language_map_file
ERROR   | 2021-12-02 18:07:39,017 | root     | b'out of memory'
ERROR   | 2021-12-02 18:07:39,018 | root     | got an error while analyzing get_token_c
ERROR   | 2021-12-02 18:10:16,042 | root     | b'out of memory'
ERROR   | 2021-12-02 18:10:16,048 | root     | got an error while analyzing parse_args_asm
ERROR   | 2021-12-02 18:10:16,562 | root     | b'out of memory'
ERROR   | 2021-12-02 18:10:16,572 | root     | got an error while analyzing get_token_asm
ERROR   | 2021-12-02 18:14:12,239 | root     | b'out of memory'
ERROR   | 2021-12-02 18:14:12,242 | root     | got an error while analyzing get_token_text
ERROR   | 2021-12-02 18:14:15,903 | root     | b'out of memory'
ERROR   | 2021-12-02 18:14:15,905 | root     | got an error while analyzing get_token_perl
ERROR   | 2021-12-02 18:16:44,556 | root     | b'out of memory'
ERROR   | 2021-12-02 18:16:44,559 | root     | got an error while analyzing walk_dir
ERROR   | 2021-12-02 18:18:09,817 | root     | b'out of memory'
ERROR   | 2021-12-02 18:18:09,821 | root     | got an error while analyzing mark_member_file_links
ERROR   | 2021-12-02 18:19:49,651 | root     | b'out of memory'
ERROR   | 2021-12-02 18:19:49,653 | root     | got an error while analyzing find_alias_link
ERROR   | 2021-12-02 18:20:06,296 | root     | b'out of memory'
ERROR   | 2021-12-02 18:20:06,300 | root     | got an error while analyzing get_member_file
ERROR   | 2021-12-02 18:20:06,721 | root     | b'out of memory'
ERROR   | 2021-12-02 18:20:06,723 | root     | got an error while analyzing find_member_file
ERROR   | 2021-12-02 18:20:28,234 | root     | b'out of memory'
ERROR   | 2021-12-02 18:20:28,240 | root     | got an error while analyzing vector_length
ERROR   | 2021-12-02 18:20:30,403 | root     | b'out of memory'
ERROR   | 2021-12-02 18:20:30,407 | root     | got an error while analyzing string_in_vector
ERROR   | 2021-12-02 18:20:30,805 | root     | b'out of memory'
ERROR   | 2021-12-02 18:20:30,806 | root     | got an error while analyzing parse_file_name
Killed
