ERROR   | 2021-12-02 18:32:40,886 | root     | b'out of memory'
ERROR   | 2021-12-02 18:32:40,891 | root     | got an error while analyzing make_hol
ERROR   | 2021-12-02 18:33:18,344 | root     | list index out of range
ERROR   | 2021-12-02 18:33:18,345 | root     | got an error while analyzing hol_entry_short_iterate
ERROR   | 2021-12-02 18:34:59,327 | root     | b'out of memory'
ERROR   | 2021-12-02 18:34:59,328 | root     | got an error while analyzing hol_find_entry
ERROR   | 2021-12-02 18:35:00,303 | root     | b'out of memory'
ERROR   | 2021-12-02 18:35:00,303 | root     | got an error while analyzing hol_set_group
ERROR   | 2021-12-02 18:35:01,535 | root     | b'out of memory'
ERROR   | 2021-12-02 18:35:01,538 | root     | got an error while analyzing hol_cluster_cmp
ERROR   | 2021-12-02 18:35:01,949 | root     | b'out of memory'
ERROR   | 2021-12-02 18:35:01,950 | root     | got an error while analyzing hol_cluster_base
ERROR   | 2021-12-02 18:35:02,645 | root     | b'out of memory'
ERROR   | 2021-12-02 18:35:02,646 | root     | got an error while analyzing canon_doc_option
ERROR   | 2021-12-02 18:35:03,045 | root     | b'out of memory'
ERROR   | 2021-12-02 18:35:03,047 | root     | got an error while analyzing hol_entry_cmp
ERROR   | 2021-12-02 18:35:03,725 | root     | b'out of memory'
ERROR   | 2021-12-02 18:35:03,727 | root     | got an error while analyzing hol_sort
ERROR   | 2021-12-02 18:35:04,044 | root     | b'out of memory'
ERROR   | 2021-12-02 18:35:04,048 | root     | got an error while analyzing hol_append
Killed
