WARNING | 2021-12-02 18:02:45,757 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: __check_rhosts_file
WARNING | 2021-12-02 18:02:45,757 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: __rcmd_errstr
WARNING | 2021-12-02 18:02:45,761 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 18:27:53,958 | root     | b'out of memory'
ERROR   | 2021-12-02 18:27:53,959 | root     | got an error while analyzing getstr
ERROR   | 2021-12-02 18:28:00,978 | root     | b'out of memory'
ERROR   | 2021-12-02 18:28:01,353 | root     | got an error while analyzing localhost
ERROR   | 2021-12-02 18:30:15,619 | root     | b'out of memory'
ERROR   | 2021-12-02 18:30:15,625 | root     | got an error while analyzing convert_options
ERROR   | 2021-12-02 18:30:15,967 | root     | b'out of memory'
ERROR   | 2021-12-02 18:30:15,970 | root     | got an error while analyzing parser_convert
ERROR   | 2021-12-02 18:30:22,833 | root     | b'out of memory'
ERROR   | 2021-12-02 18:30:22,833 | root     | got an error while analyzing calc_sizes
ERROR   | 2021-12-02 18:31:23,009 | root     | b'out of memory'
ERROR   | 2021-12-02 18:31:23,009 | root     | got an error while analyzing parser_finalize
ERROR   | 2021-12-02 18:31:23,413 | root     | b'out of memory'
ERROR   | 2021-12-02 18:31:23,418 | root     | got an error while analyzing parser_parse_arg
ERROR   | 2021-12-02 18:33:15,331 | root     | b'out of memory'
ERROR   | 2021-12-02 18:33:15,331 | root     | got an error while analyzing parser_parse_next
ERROR   | 2021-12-02 18:34:59,384 | root     | b'out of memory'
ERROR   | 2021-12-02 18:34:59,384 | root     | got an error while analyzing version_etc_va
ERROR   | 2021-12-02 18:40:46,944 | root     | b'out of memory'
ERROR   | 2021-12-02 18:40:46,953 | root     | got an error while analyzing fill_in_uparams
ERROR   | 2021-12-02 18:42:33,523 | root     | b'out of memory'
ERROR   | 2021-12-02 18:42:33,529 | root     | got an error while analyzing make_hol
Killed
