WARNING | 2021-12-02 18:05:25,044 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: LINES
WARNING | 2021-12-02 18:05:25,045 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: COLS
WARNING | 2021-12-02 18:05:25,045 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: curscr
WARNING | 2021-12-02 18:05:25,045 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: stdscr
WARNING | 2021-12-02 18:05:25,048 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 19:08:42,847 | root     | b'out of memory'
ERROR   | 2021-12-02 19:08:42,855 | root     | got an error while analyzing fill_in_uparams
ERROR   | 2021-12-02 19:10:40,324 | root     | b'out of memory'
ERROR   | 2021-12-02 19:10:40,328 | root     | got an error while analyzing make_hol
ERROR   | 2021-12-02 19:10:55,574 | root     | b'out of memory'
ERROR   | 2021-12-02 19:10:55,601 | root     | got an error while analyzing hol_add_cluster
ERROR   | 2021-12-02 19:12:06,046 | root     | b'out of memory'
ERROR   | 2021-12-02 19:12:06,049 | root     | got an error while analyzing hol_entry_short_iterate
ERROR   | 2021-12-02 19:12:06,899 | root     | b'out of memory'
ERROR   | 2021-12-02 19:12:06,899 | root     | got an error while analyzing hol_entry_first_short
ERROR   | 2021-12-02 19:12:07,276 | root     | b'out of memory'
ERROR   | 2021-12-02 19:12:07,282 | root     | got an error while analyzing hol_entry_first_long
ERROR   | 2021-12-02 19:13:42,226 | root     | b'out of memory'
ERROR   | 2021-12-02 19:13:42,227 | root     | got an error while analyzing hol_find_entry
Killed
