WARNING | 2021-12-02 18:25:31,364 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: PC
WARNING | 2021-12-02 18:25:31,364 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: ospeed
WARNING | 2021-12-02 18:25:31,366 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-02 18:30:22,886 | root     | b'out of memory'
ERROR   | 2021-12-02 18:30:22,887 | root     | got an error while analyzing get_term
ERROR   | 2021-12-02 18:40:47,353 | root     | b'out of memory'
ERROR   | 2021-12-02 18:40:47,353 | root     | got an error while analyzing ichardef
ERROR   | 2021-12-02 18:41:17,412 | root     | b'out of memory'
ERROR   | 2021-12-02 18:41:17,414 | root     | got an error while analyzing ilocale
ERROR   | 2021-12-02 18:41:21,322 | root     | b'out of memory'
ERROR   | 2021-12-02 18:41:21,324 | root     | got an error while analyzing setfmt
ERROR   | 2021-12-02 18:42:33,553 | root     | b'out of memory'
ERROR   | 2021-12-02 18:42:33,553 | root     | got an error while analyzing utf_skip_to_lead
Killed
