ERROR   | 2021-12-02 21:28:28,368 | root     | list index out of range
ERROR   | 2021-12-02 21:28:28,368 | root     | got an error while analyzing list_components
ERROR   | 2021-12-03 01:13:28,233 | root     | b'out of memory'
ERROR   | 2021-12-03 01:13:28,233 | root     | got an error while analyzing wordsplit_init
ERROR   | 2021-12-03 01:13:33,500 | root     | b'out of memory'
ERROR   | 2021-12-03 01:13:33,500 | root     | got an error while analyzing alloc_space
ERROR   | 2021-12-03 01:13:40,343 | root     | 
ERROR   | 2021-12-03 01:13:40,343 | root     | got an error while analyzing wsnode_ptr
ERROR   | 2021-12-03 01:13:40,346 | root     | 
ERROR   | 2021-12-03 01:13:40,346 | root     | got an error while analyzing wsnode_len
ERROR   | 2021-12-03 01:13:40,349 | root     | 
ERROR   | 2021-12-03 01:13:40,349 | root     | got an error while analyzing wsnode_new
ERROR   | 2021-12-03 01:13:40,352 | root     | 
ERROR   | 2021-12-03 01:13:40,352 | root     | got an error while analyzing wsnode_free
ERROR   | 2021-12-03 01:13:40,355 | root     | 
ERROR   | 2021-12-03 01:13:40,355 | root     | got an error while analyzing wsnode_append
ERROR   | 2021-12-03 01:13:40,358 | root     | 
ERROR   | 2021-12-03 01:13:40,358 | root     | got an error while analyzing wsnode_remove
ERROR   | 2021-12-03 01:13:40,360 | root     | 
ERROR   | 2021-12-03 01:13:40,361 | root     | got an error while analyzing wsnode_insert
ERROR   | 2021-12-03 01:13:40,364 | root     | 
ERROR   | 2021-12-03 01:13:40,364 | root     | got an error while analyzing wordsplit_add_segm
ERROR   | 2021-12-03 01:13:40,368 | root     | 
ERROR   | 2021-12-03 01:13:40,368 | root     | got an error while analyzing wordsplit_free_nodes
ERROR   | 2021-12-03 01:13:40,371 | root     | 
ERROR   | 2021-12-03 01:13:40,371 | root     | got an error while analyzing wordsplit_dump_nodes
ERROR   | 2021-12-03 01:13:40,374 | root     | 
ERROR   | 2021-12-03 01:13:40,374 | root     | got an error while analyzing coalesce_segment
ERROR   | 2021-12-03 01:13:40,377 | root     | 
