WARNING | 2021-12-05 15:34:32,513 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_acpi_power_state_rs
WARNING | 2021-12-05 15:34:32,513 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_ip_udp_rmcp_statistics_rs
WARNING | 2021-12-05 15:34:32,513 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_channel_info_rs
WARNING | 2021-12-05 15:34:32,513 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_sel_time_utc_offset_rs
WARNING | 2021-12-05 15:34:32,514 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_fru_inventory_area_info_rs
WARNING | 2021-12-05 15:34:32,514 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_interface_capabilities_kcs_rs
WARNING | 2021-12-05 15:34:32,514 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_platform_event_rs
WARNING | 2021-12-05 15:34:32,514 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_auxiliary_log_status_rs
WARNING | 2021-12-05 15:34:32,514 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_acpi_power_state_rs
WARNING | 2021-12-05 15:34:32,514 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_write_fru_data_rs
WARNING | 2021-12-05 15:34:32,514 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_bmc_global_enables_rs
WARNING | 2021-12-05 15:34:32,514 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_auxiliary_log_status_mca_rs
WARNING | 2021-12-05 15:34:32,515 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_re_arm_sensor_events_rs
WARNING | 2021-12-05 15:34:32,515 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_self_test_results_rs
WARNING | 2021-12-05 15:34:32,515 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_sel_time_rs
WARNING | 2021-12-05 15:34:32,515 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_sel_time_rs
WARNING | 2021-12-05 15:34:32,515 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_cold_reset_rs
WARNING | 2021-12-05 15:34:32,515 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_system_info_parameters_rs
WARNING | 2021-12-05 15:34:32,515 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_sensor_reading_and_event_status_rs
WARNING | 2021-12-05 15:34:32,515 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_sdr_repository_time_rs
WARNING | 2021-12-05 15:34:32,515 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_sdr_repository_time_rs
WARNING | 2021-12-05 15:34:32,516 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_warm_reset_rs
WARNING | 2021-12-05 15:34:32,516 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_set_sel_time_utc_offset_rs
WARNING | 2021-12-05 15:34:32,516 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_bt_interface_capabilities_rs
WARNING | 2021-12-05 15:34:32,516 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: tmpl_cmd_get_system_interface_capabilities_ssif_rs
WARNING | 2021-12-05 15:34:32,524 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-05 15:47:27,353 | root     | b'out of memory'
ERROR   | 2021-12-05 15:47:27,355 | root     | got an error while analyzing run_cmd_args
ERROR   | 2021-12-05 15:47:28,019 | root     | b'out of memory'
ERROR   | 2021-12-05 15:47:28,019 | root     | got an error while analyzing cmdline_parse
ERROR   | 2021-12-05 15:47:28,732 | root     | b'out of memory'
ERROR   | 2021-12-05 15:47:28,733 | root     | got an error while analyzing bmc_device_argp_parse
ERROR   | 2021-12-05 15:56:01,971 | root     | b'out of memory'
ERROR   | 2021-12-05 15:56:01,972 | root     | got an error while analyzing verify_common_cmd_args_outofband
ERROR   | 2021-12-05 15:56:03,858 | root     | b'out of memory'
ERROR   | 2021-12-05 15:56:03,863 | root     | got an error while analyzing verify_common_cmd_args
ERROR   | 2021-12-05 16:04:34,727 | root     | b'out of memory'
ERROR   | 2021-12-05 16:04:34,734 | root     | got an error while analyzing format_kg
ERROR   | 2021-12-05 16:07:32,915 | root     | b'out of memory'
ERROR   | 2021-12-05 16:07:32,924 | root     | got an error while analyzing cbuf_peek_line
ERROR   | 2021-12-05 16:09:10,256 | root     | b'out of memory'
ERROR   | 2021-12-05 16:09:10,261 | root     | got an error while analyzing cbuf_write_line
Killed
