WARNING | 2021-12-05 16:14:59,031 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_outstream
WARNING | 2021-12-05 16:14:59,032 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_function
WARNING | 2021-12-05 16:14:59,032 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_line_buffer
WARNING | 2021-12-05 16:14:59,032 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: history_length
WARNING | 2021-12-05 16:14:59,032 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_inhibit_completion
WARNING | 2021-12-05 16:14:59,032 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: __gmp_version
WARNING | 2021-12-05 16:14:59,032 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_readline_name
WARNING | 2021-12-05 16:14:59,032 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_over
WARNING | 2021-12-05 16:14:59,045 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-05 16:50:00,655 | root     | 
ERROR   | 2021-12-05 16:50:00,660 | root     | got an error while analyzing yyparse
Killed
