WARNING | 2021-12-05 20:07:23,078 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_context
WARNING | 2021-12-05 20:07:23,079 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_maildir_record
WARNING | 2021-12-05 20:07:23,079 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imaps_record
WARNING | 2021-12-05 20:07:23,079 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_c_tab
WARNING | 2021-12-05 20:07:23,079 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtps_record
WARNING | 2021-12-05 20:07:23,079 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_nntp_record
WARNING | 2021-12-05 20:07:23,079 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_smtp_record
WARNING | 2021-12-05 20:07:23,079 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_msgset_formats
WARNING | 2021-12-05 20:07:23,079 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pops_record
WARNING | 2021-12-05 20:07:23,079 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_record
WARNING | 2021-12-05 20:07:23,079 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_prog_record
WARNING | 2021-12-05 20:07:23,080 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strin
WARNING | 2021-12-05 20:07:23,080 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_pop_record
WARNING | 2021-12-05 20:07:23,080 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mh_profile
WARNING | 2021-12-05 20:07:23,080 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_program_name
WARNING | 2021-12-05 20:07:23,080 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_sendmail_record
WARNING | 2021-12-05 20:07:23,080 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_mbox_record
WARNING | 2021-12-05 20:07:23,080 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_imap_record
WARNING | 2021-12-05 20:07:23,080 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strerr
WARNING | 2021-12-05 20:07:23,080 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_strout
WARNING | 2021-12-05 20:07:23,080 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: mu_version_copyright
WARNING | 2021-12-05 20:07:23,086 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-05 20:27:46,842 | root     | 
ERROR   | 2021-12-05 20:27:46,844 | root     | got an error while analyzing pick_yyparse
ERROR   | 2021-12-05 20:36:46,369 | root     | b'out of memory'
ERROR   | 2021-12-05 20:36:46,375 | root     | got an error while analyzing augment_argv
ERROR   | 2021-12-05 20:37:04,561 | root     | b'out of memory'
ERROR   | 2021-12-05 20:37:04,566 | root     | got an error while analyzing process_folder_arg
ERROR   | 2021-12-05 20:40:21,435 | root     | b'out of memory'
ERROR   | 2021-12-05 20:40:21,440 | root     | got an error while analyzing opt_init
ERROR   | 2021-12-05 20:40:23,428 | root     | b'out of memory'
ERROR   | 2021-12-05 20:40:23,430 | root     | got an error while analyzing mh_getopt_ext
ERROR   | 2021-12-05 20:43:38,286 | root     | b'out of memory'
ERROR   | 2021-12-05 20:43:38,289 | root     | got an error while analyzing part_match
ERROR   | 2021-12-05 20:43:38,944 | root     | b'out of memory'
ERROR   | 2021-12-05 20:43:38,944 | root     | got an error while analyzing match_char_class
ERROR   | 2021-12-05 20:44:16,785 | root     | b'out of memory'
ERROR   | 2021-12-05 20:44:16,786 | root     | got an error while analyzing make_dir_hier
ERROR   | 2021-12-05 20:45:32,204 | root     | b'out of memory'
ERROR   | 2021-12-05 20:45:32,300 | root     | got an error while analyzing mh_makedir
Killed
