WARNING | 2021-12-05 21:12:40,881 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_attempted_completion_function
WARNING | 2021-12-05 21:12:40,881 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_config_dir
WARNING | 2021-12-05 21:12:40,881 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_getc_function
WARNING | 2021-12-05 21:12:40,882 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_source_info_option
WARNING | 2021-12-05 21:12:40,882 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_log_dir
WARNING | 2021-12-05 21:12:40,882 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_instream
WARNING | 2021-12-05 21:12:40,882 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_utmp_file
WARNING | 2021-12-05 21:12:40,882 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: rl_readline_name
WARNING | 2021-12-05 21:12:40,882 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_wtmp_file
WARNING | 2021-12-05 21:12:40,882 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_bug_report_address
WARNING | 2021-12-05 21:12:40,882 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_resolve_hostnames
WARNING | 2021-12-05 21:12:40,882 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_acct_dir
WARNING | 2021-12-05 21:12:40,882 | cle.backends.externs | Symbol was allocated without a known size; emulation may fail if it is used non-opaquely: grad_pid_dir
WARNING | 2021-12-05 21:12:40,889 | cle.loader | For more information about "Symbol was allocated without a known size", see https://docs.angr.io/extending-angr/environment#simdata
ERROR   | 2021-12-05 22:24:06,363 | root     | 
ERROR   | 2021-12-05 22:24:06,925 | root     | got an error while analyzing ccparse
ERROR   | 2021-12-05 22:43:02,634 | root     | b'out of memory'
ERROR   | 2021-12-05 22:43:02,640 | root     | got an error while analyzing radius_exec_program
ERROR   | 2021-12-05 22:44:36,609 | root     | b'out of memory'
ERROR   | 2021-12-05 22:44:36,616 | root     | got an error while analyzing filter_write
ERROR   | 2021-12-05 22:44:39,139 | root     | b'out of memory'
ERROR   | 2021-12-05 22:44:39,140 | root     | got an error while analyzing filter_read
Killed
